topic,title,content,url
Sức khoẻ,Cách ly tại nhà thế nào để không lây nhiễm?,"Bộ Y tế quy định thời gian cách ly tối đa là 14 ngày kể từ ngày tiếp xúc lần cuối với nguồn nghi nhiễm. Người cách ly phải đeo khẩu trang, không tự ý rời khỏi nhà.",https://vnexpress.net/cach-ly-tai-nha-the-nao-de-khong-lay-nhiem-4201141.html
Sức khoẻ,Bên trong xưởng tủ đông siêu lạnh đựng vaccine Pfizer,"Tủ đông siêu lạnh trữ vaccine của Pfizer đươc sản xuất bởi các kỹ sư của Desmon, một công ty thiết bị làm lạnh y tế.",https://vnexpress.net/ben-trong-xuong-tu-dong-sieu-lanh-dung-vaccine-pfizer-4201434.html
Sức khoẻ,Ca mổ giải thoát cụ ông 20 năm không ăn được cơm,"Ông Lương Văn Hiên, 82 tuổi, ở Thái Bình bị co thắt tâm vị, không thể ăn uống được, khiến suy dinh dưỡng thể nặng.",https://vnexpress.net/ca-mo-giai-thoat-cu-ong-20-nam-khong-an-duoc-com-4201339.html
Sức khoẻ,"Mỹ, Anh cãi nhau về quyết định phê duyệt vaccine Pfizer","Tiến sĩ Anthony Fauci bày tỏ nghi ngờ về quyết định phê duyệt vaccine Pfizer của Anh, sau đó đã rút lại các nhận định của mình.",https://vnexpress.net/my-anh-cai-nhau-ve-quyet-dinh-phe-duyet-vaccine-pfizer-4201473.html
Sức khoẻ,Thần tốc mổ bắt con cứu bà bầu nguy kịch,,https://vnexpress.net/than-toc-mo-bat-con-cuu-ba-bau-nguy-kich-4201236.html
Sức khoẻ,Còn 188 người tiếp xúc bệnh nhân Covid-19 chờ kết quả xét nghiệm,,https://vnexpress.net/con-188-nguoi-tiep-xuc-benh-nhan-covid-19-cho-ket-qua-xet-nghiem-4201364.html
Giải trí,Nghệ sĩ Trần Hiếu bị tai nạn gãy xương sườn,,https://vnexpress.net/nghe-si-tran-hieu-bi-tai-nan-gay-xuong-suon-4201729.html
Giải trí,Helena Christensen làm mẫu nội y ở tuổi 51,"Siêu mẫu Helena Christensen, 51 tuổi, khoe hình thể với đồ lót trong chiến dịch mới của Victoria's Secret hôm 3/12.",https://vnexpress.net/helena-christensen-lam-mau-noi-y-o-tuoi-51-4201630.html
Giải trí,Katleen Phan Võ chuộng đồ hở eo,"Diễn viên Katleen Phan Võ - con gái chưởng môn Vịnh Xuân chính thống phái - khoe vòng eo 61 cm với crop-top, váy dây.",https://vnexpress.net/katleen-phan-vo-chuong-do-ho-eo-4201085.html
Giải trí,'Bố già' của Trấn Thành có cảnh quay một tỷ đồng,"Cảnh mở đầu phim điện ảnh 'Bố già' của Trấn Thành được quay one shot, kinh phí hơn một tỷ đồng, với gần 100 diễn viên quần chúng.",https://vnexpress.net/bo-gia-cua-tran-thanh-co-canh-quay-mot-ty-dong-4201666.html
Giải trí,Tác phẩm dự Triển lãm Mỹ thuật toàn quốc bị mất,"Tranh của họa sĩ Hùng Anh, tượng của nhà điêu khắc Triệu Ngọc Thạch bị mất khi dự Triển lãm Mỹ thuật toàn quốc.",https://vnexpress.net/tac-pham-du-trien-lam-my-thuat-toan-quoc-bi-mat-4201605.html
Giải trí,"Dế Choắt, Wowy tập luyện trên sàn catwalk",,https://vnexpress.net/de-choat-wowy-tap-luyen-tren-san-catwalk-4201552.html
Kinh doanh,CEO BioNTech vào top 500 giàu nhất thế giới,"Ugur Sahin hiện sở hữu 5,1 tỷ USD, nhờ vaccine Covid-19 mà BioNTech phát triển cùng Pfizer.",https://vnexpress.net/ceo-biontech-vao-top-500-giau-nhat-the-gioi-4201571.html
Kinh doanh,HoREA: 'Ngành thuế chưa sòng phẳng với doanh nghiệp',HoREA dẫn ra hai Nghị định cho thấy ngành thuế đang ép doanh nghiệp vì nếu nộp thiếu thuế sẽ bị phạt nhưng khi nộp thừa chỉ được bù trừ hoặc mất trắng.,https://vnexpress.net/horea-nganh-thue-chua-song-phang-voi-doanh-nghiep-4201446.html
